#Model inputs
#Conv.tg.nzones
3
#Conv.tg.recaptures
225
# Conv.tg.rec ( DaysAtLarge Rel.zn Rec.zn )
128 3 3
273 3 3
280 3 3
540 2 2
743 3 3
468 3 2
1612 3 3
272 3 3
460 3 3
348 3 3
581 3 3
252 3 3
51 3 3
788 3 3
672 3 3
276 3 3
264 3 3
139 3 3
867 3 3
260 3 3
303 3 3
1071 3 3
277 2 2
79 2 2
202 2 3
202 2 3
252 2 3
497 2 2
40 3 3
45 3 3
46 3 3
45 3 3
295 3 3
317 3 3
48 3 3
46 3 3
130 3 3
311 3 3
296 3 3
192 3 3
545 3 3
580 3 3
208 3 3
226 2 3
192 3 3
215 2 3
576 3 3
1370 3 3
317 2 2
329 2 1
576 3 3
545 2 2
72 2 2
258 2 2
637 2 2
112 3 3
562 3 3
560 3 3
41 3 3
908 3 3
332 3 3
507 3 3
66 3 3
328 3 3
66 3 3
325 3 3
400 3 3
84 3 3
3410 3 3
285 3 3
223 3 3
474 2 2
126 2 1
3059 3 3
331 3 3
162 3 3
114 3 3
331 3 3
249 3 3
436 3 3
277 3 3
248 3 3
276 3 3
276 3 3
257 3 3
276 3 3
276 3 3
276 3 3
166 3 3
580 3 3
56 3 3
588 3 3
693 3 3
602 3 3
327 3 3
1069 3 3
369 3 3
910 3 3
596 3 3
129 3 3
33 3 3
44 3 3
46 3 3
46 3 3
129 3 3
294 3 3
54 3 3
178 3 3
45 3 3
44 3 3
2939 3 3
298 3 3
294 3 3
319 3 3
46 3 3
33 3 3
137 3 3
129 3 3
298 3 3
177 3 3
45 3 3
310 3 3
178 3 3
54 3 3
231 3 3
624 3 3
888 3 3
323 3 3
1414 3 3
249 3 3
319 3 3
2649 3 3
677 3 3
1412 3 3
675 3 3
283 3 3
285 3 3
834 3 3
759 3 3
65 3 3
286 3 3
759 3 3
173 3 3
726 3 3
755 3 3
283 3 3
900 3 3
45 3 3
1013 3 3
625 3 3
250 3 3
119 3 3
119 3 3
182 3 3
180 3 3
44 3 3
320 3 3
130 3 3
319 3 3
46 3 3
46 3 3
48 3 3
47 3 3
179 3 3
297 3 3
128 3 3
197 3 3
44 3 3
132 3 3
140 3 3
188 3 3
128 3 3
128 3 3
521 3 3
406 3 3
724 3 3
524 3 3
421 3 3
192 3 3
279 3 3
371 3 3
542 3 3
39 1 1
279 3 3
340 3 3
716 3 3
308 3 3
319 3 3
198 3 3
118 1 1
432 3 3
881 3 3
386 3 3
600 3 3
323 3 3
703 3 3
437 3 3
1262 3 3
1260 3 3
128 3 3
135 3 3
385 3 3
1330 3 3
276 3 3
268 3 3
143 3 3
261 3 3
1156 3 3
245 3 3
45 3 3
1171 3 3
78 3 3
652 3 3
75 3 3
217 3 3
70 3 3
283 3 3
249 3 1
116 3 3
647 3 3
263 3 3
1175 3 3
115 3 3
47 3 3
168 3 3
#Acous.tg.detections
203
#Acous.tg.tags
48
#Acous.tg.obs.per.tags
8	1	1	2	1
1	1	1	1	1
1	1	11	3	1
1	1	1	1	1
10	1	13	1	6
17	3	1	2	6
10	1	6	1	6
1	2	7	1	3
19	1	15	1	9
10	5	5
#Acous.tg.start
1	9	10	11	13
14	15	16	17	18
19	20	21	32	35
36	37	38	39	40
41	51	52	65	66
72	89	92	93	95
101	111	112	118	119
125	126	128	135	136
139	158	159	174	175
184	194	199
#Acous.tg.end
8	9	10	12	13
14	15	16	17	18
19	20	31	34	35
36	37	38	39	40
50	51	64	65	71
88	91	92	94	100
110	111	117	118	124
125	127	134	135	138
157	158	173	174	183
193	198	203
# Acous.tg.data ( DaysAtLarge Rel.zn Rec.zn TagID )
167 3 3 1
5 3 3 1
432 3 3 1
4 3 2 1
5 2 2 1
4 2 2 1
4 2 2 1
167 2 3 1
51 3 3 10
30 3 3 100
900 3 3 101
122 3 3 101
1612 3 3 12
52 3 1 13
153 3 3 15
581 3 3 25
460 3 3 28
272 3 3 29
264 3 3 3
540 2 2 31
337 2 2 32
182 2 3 32
54 3 3 32
9 3 2 32
292 2 2 32
1 2 2 32
8 2 3 32
3 3 3 32
1 3 3 32
56 3 3 32
6 3 2 32
173 3 3 37
1 3 3 37
1 3 3 37
743 3 3 38
335 3 3 39
52 2 2 4
867 3 3 41
303 3 3 42
260 3 3 44
68 3 3 46
7 3 2 46
5 2 2 46
71 2 2 46
5 2 2 46
4 2 3 46
172 3 3 46
5 3 2 46
4 2 2 46
127 2 2 46
276 3 3 47
454 3 3 48
1 3 3 48
2 3 3 48
2 3 3 48
1 3 3 48
1 3 3 48
1 3 3 48
9 3 3 48
1 3 3 48
1 3 3 48
1 3 3 48
3 3 3 48
2 3 3 48
139 3 3 56
115 3 3 57
1 3 3 57
80 3 3 57
59 3 3 57
1 3 3 57
92 3 3 57
135 2 2 59
4 2 2 59
6 2 3 59
380 3 2 59
5 2 3 59
220 3 2 59
133 2 2 59
4 2 2 59
4 2 3 59
190 3 3 59
6 3 2 59
